month,level_1,level_2,level_3,value
1978-08,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1376.3
1978-08,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,19136
1978-08,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4293
1978-09,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,71425.6
1978-09,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,14614.9
1978-09,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4320.5
1978-09,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,2840.2
1978-09,Total International Visitor Arrivals By Country Of Residence,Asia,India,5513.1
1978-09,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,632.7
1978-09,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,915.2
1978-09,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,8465.3
1978-09,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5103.2
1978-09,Total International Visitor Arrivals By Country Of Residence,Europe,France,3232.2
1978-09,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2059.5
1978-09,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3189.2
1978-09,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1841.6
1978-09,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,432.5
1978-09,Total International Visitor Arrivals By Country Of Residence,Americas,USA,10105.9
1978-09,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1721.4
1978-09,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,18593.6
1978-09,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,4553
1978-10,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,72059.4
1978-10,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,18964.5
1978-10,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4461.7
1978-10,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,3007.5
1978-10,Total International Visitor Arrivals By Country Of Residence,Asia,India,5496
