month,level_1,level_2,level_3,value
2002-10,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,218248.3
2002-10,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,61542.8
2002-10,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,22778.5
2002-10,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,18582.8
2002-10,Total International Visitor Arrivals By Country Of Residence,Asia,India,32208.7
2002-10,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,1102.2
2002-10,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4617.7
2002-10,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,38744.7
2002-10,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,13562.8
2002-10,Total International Visitor Arrivals By Country Of Residence,Europe,France,6072.6
2002-10,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2848.2
2002-10,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,6302.9
2002-10,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3476.2
2002-10,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4258.1
2002-10,Total International Visitor Arrivals By Country Of Residence,Americas,USA,27156.6
2002-10,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5895.2
2002-10,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,45808.1
2002-10,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7756.8
2002-11,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,212361.8
2002-11,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,55691.9
2002-11,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,20680.8
2002-11,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14864.2
2002-11,Total International Visitor Arrivals By Country Of Residence,Asia,India,38062.5
2002-11,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,994.6
2002-11,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4400.8
2002-11,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,37817.4
2002-11,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,12895
2002-11,Total International Visitor Arrivals By Country Of Residence,Europe,France,5536.3
2002-11,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2785.6
2002-11,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5959.8
2002-11,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3531
2002-11,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4158.9
2002-11,Total International Visitor Arrivals By Country Of Residence,Americas,USA,26430.1
2002-11,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5636
2002-11,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,41022.5
2002-11,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7360.1
2002-12,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,222771.9
2002-12,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,58756.9
2002-12,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,20529.8
2002-12,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14483
2002-12,Total International Visitor Arrivals By Country Of Residence,Asia,India,31693.3
2002-12,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,855.1
2002-12,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4480.1
2002-12,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,38382.4
2002-12,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,12442.3
2002-12,Total International Visitor Arrivals By Country Of Residence,Europe,France,5373.2
2002-12,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,3032.8
2002-12,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5788.8
2002-12,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3805
2002-12,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4248
2002-12,Total International Visitor Arrivals By Country Of Residence,Americas,USA,27146.7
2002-12,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5683.9
2002-12,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,38798.5
2002-12,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7877.8
2003-01,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,226814
2003-01,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,56325.2
2003-01,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,23847.3
2003-01,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15898.3
2003-01,Total International Visitor Arrivals By Country Of Residence,Asia,India,32308.6
2003-01,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,956.5
2003-01,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4934.4
2003-01,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,41019.5
2003-01,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,13105.5
2003-01,Total International Visitor Arrivals By Country Of Residence,Europe,France,5855.9
2003-01,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,3087.4
2003-01,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5898.2
2003-01,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3811.6
2003-01,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4124.8
2003-01,Total International Visitor Arrivals By Country Of Residence,Americas,USA,28892
2003-01,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,6007
2003-01,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,42057.1
2003-01,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,8719.2
2003-02,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,220009.9
2003-02,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,56792.9
2003-02,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,20480.8
2003-02,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15568.5
2003-02,Total International Visitor Arrivals By Country Of Residence,Asia,India,32373.4
2003-02,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,917.1
2003-02,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4746.7
2003-02,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,36845.1
2003-02,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,13503.4
2003-02,Total International Visitor Arrivals By Country Of Residence,Europe,France,5701.8
2003-02,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2690.5
2003-02,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5613.7
2003-02,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3600.9
2003-02,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4906.5
2003-02,Total International Visitor Arrivals By Country Of Residence,Americas,USA,23843.9
2003-02,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5411.7
2003-02,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,40483.2
2003-02,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7743.5
2003-03,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,194456
2003-03,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,47383.8
2003-03,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,17748.5
2003-03,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,13106
2003-03,Total International Visitor Arrivals By Country Of Residence,Asia,India,28333.7
2003-03,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,877
2003-03,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4342.2
2003-03,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,32618.8
2003-03,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11084.5
2003-03,Total International Visitor Arrivals By Country Of Residence,Europe,France,5845.1
2003-03,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2306.7
2003-03,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5499.5
2003-03,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3233.3
2003-03,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4162.5
2003-03,Total International Visitor Arrivals By Country Of Residence,Americas,USA,22198.5
2003-03,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4831.8
2003-03,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,37052
2003-03,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7295.2
2003-04,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,69813.6
2003-04,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,15655.4
2003-04,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4354
2003-04,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,2619.1
2003-04,Total International Visitor Arrivals By Country Of Residence,Asia,India,13369.9
2003-04,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,522.8
2003-04,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1290.6
2003-04,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,21567.9
2003-04,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5724.7
2003-04,Total International Visitor Arrivals By Country Of Residence,Europe,France,1421.5
2003-04,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,565.6
2003-04,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3442.9
2003-04,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1222
2003-04,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,2637.9
2003-04,Total International Visitor Arrivals By Country Of Residence,Americas,USA,6385
2003-04,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1970.3
2003-04,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,14038.2
2003-04,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,3334.1
2003-05,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,89855.1
2003-05,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,8379.7
2003-05,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,5808.1
2003-05,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,1428.9
2003-05,Total International Visitor Arrivals By Country Of Residence,Asia,India,8642.8
2003-05,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,429.2
2003-05,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1848.8
2003-05,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,17890.2
2003-05,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4651.8
2003-05,Total International Visitor Arrivals By Country Of Residence,Europe,France,1571.2
2003-05,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,350.3
2003-05,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,2832.8
2003-05,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1022.1
2003-05,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,2169
2003-05,Total International Visitor Arrivals By Country Of Residence,Americas,USA,6718
2003-05,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1645.5
2003-05,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,12939.6
2003-05,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,2827.4
2003-06,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,148832.1
2003-06,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,15981.2
2003-06,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,17059.1
2003-06,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,5509
2003-06,Total International Visitor Arrivals By Country Of Residence,Asia,India,15065.2
2003-06,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,611.5
2003-06,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4718.5
2003-06,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,22646.4
2003-06,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5649
2003-06,Total International Visitor Arrivals By Country Of Residence,Europe,France,2957.5
2003-06,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,844.7
2003-06,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3635.8
2003-06,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1709.8
2003-06,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,2951.8
2003-06,Total International Visitor Arrivals By Country Of Residence,Americas,USA,12322.5
2003-06,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,2936.7
2003-06,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,19990
2003-06,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,3675.7
2003-07,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,206140.6
2003-07,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,26916.8
2003-07,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,23729.6
2003-07,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,12689.7
2003-07,Total International Visitor Arrivals By Country Of Residence,Asia,India,27376.1
2003-07,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,657.8
2003-07,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,6776.9
2003-07,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,30659.9
2003-07,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,9147.1
2003-07,Total International Visitor Arrivals By Country Of Residence,Europe,France,4427.7
2003-07,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1325.1
2003-07,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,4013.2
2003-07,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,2347
2003-07,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3116.9
2003-07,Total International Visitor Arrivals By Country Of Residence,Americas,USA,19665.9
2003-07,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,3583.5
2003-07,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,31524.1
2003-07,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,5443.4
2003-08,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,223032.5
2003-08,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,32798.8
2003-08,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,25900.7
2003-08,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15121.9
2003-08,Total International Visitor Arrivals By Country Of Residence,Asia,India,31518.8
2003-08,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,752.8
2003-08,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,5143
2003-08,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,34550.5
2003-08,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11343.7
2003-08,Total International Visitor Arrivals By Country Of Residence,Europe,France,4735.2
2003-08,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1155.8
2003-08,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,4416.8
2003-08,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,2819.5
2003-08,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3598.9
2003-08,Total International Visitor Arrivals By Country Of Residence,Americas,USA,25453.1
2003-08,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,3989.5
2003-08,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,37873.6
2003-08,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6718.8
2003-09,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,224110
2003-09,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,41139.4
2003-09,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,20464.4
2003-09,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15361.9
2003-09,Total International Visitor Arrivals By Country Of Residence,Asia,India,33016.3
2003-09,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,870.7
2003-09,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4568.3
2003-09,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,33604.5
2003-09,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,10912.4
2003-09,Total International Visitor Arrivals By Country Of Residence,Europe,France,5096.6
2003-09,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1588.2
2003-09,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,4429.2
2003-09,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,2974.1
2003-09,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3904.9
2003-09,Total International Visitor Arrivals By Country Of Residence,Americas,USA,26186.5
2003-09,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4750.4
2003-09,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,36277.7
2003-09,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,6755.8
2003-10,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,221904.5
2003-10,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,39909.8
2003-10,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,20863.9
2003-10,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,17171.5
2003-10,Total International Visitor Arrivals By Country Of Residence,Asia,India,33588
2003-10,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,989.7
2003-10,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4630.1
2003-10,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,34866.6
2003-10,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,10768.6
2003-10,Total International Visitor Arrivals By Country Of Residence,Europe,France,5628.6
2003-10,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2086.1
2003-10,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,4879.2
2003-10,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3095.6
2003-10,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,3918
2003-10,Total International Visitor Arrivals By Country Of Residence,Americas,USA,25344.6
2003-10,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4460
2003-10,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,38677.1
2003-10,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7533.4
2003-11,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,241840.7
2003-11,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,38513.1
2003-11,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,21912.3
2003-11,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15242.2
2003-11,Total International Visitor Arrivals By Country Of Residence,Asia,India,34378.3
2003-11,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,935.4
2003-11,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4398.3
2003-11,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,35889
2003-11,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11388.5
2003-11,Total International Visitor Arrivals By Country Of Residence,Europe,France,6120.4
2003-11,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2296.7
2003-11,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5000.4
2003-11,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3397.4
2003-11,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4194
2003-11,Total International Visitor Arrivals By Country Of Residence,Americas,USA,26613.3
2003-11,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4860.4
2003-11,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,41909.2
2003-11,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,8226.6
2003-12,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,234777.4
2003-12,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,45832.1
2003-12,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,22466.8
2003-12,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14096.4
2003-12,Total International Visitor Arrivals By Country Of Residence,Asia,India,35310.2
2003-12,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,982.6
2003-12,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4809.9
2003-12,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,36789.4
2003-12,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11581.3
2003-12,Total International Visitor Arrivals By Country Of Residence,Europe,France,6159.1
2003-12,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2292.5
2003-12,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5106.8
2003-12,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3409.4
2003-12,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4223.9
2003-12,Total International Visitor Arrivals By Country Of Residence,Americas,USA,25870
2003-12,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4942.6
2003-12,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,41017.9
2003-12,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,7523.7
2004-01,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,245096.8
2004-01,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,44991.3
2004-01,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,19493.4
2004-01,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14394.6
2004-01,Total International Visitor Arrivals By Country Of Residence,Asia,India,37296.1
2004-01,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,946.7
2004-01,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4756.5
2004-01,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,37567.7
2004-01,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,10817
2004-01,Total International Visitor Arrivals By Country Of Residence,Europe,France,6094.4
2004-01,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2111.9
2004-01,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5054.5
2004-01,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3421.1
2004-01,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4421.4
2004-01,Total International Visitor Arrivals By Country Of Residence,Americas,USA,26103.9
2004-01,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5299.4
2004-01,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,40973
2004-01,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,8085.7
2004-02,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,247076.3
2004-02,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,45370.2
2004-02,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,23269.6
2004-02,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14307.3
2004-02,Total International Visitor Arrivals By Country Of Residence,Asia,India,37778.2
2004-02,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,992.7
2004-02,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,5007.1
2004-02,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,39095.8
2004-02,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11611.9
2004-02,Total International Visitor Arrivals By Country Of Residence,Europe,France,6758.1
2004-02,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2312.3
2004-02,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5487.1
2004-02,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3707.6
2004-02,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4287.9
2004-02,Total International Visitor Arrivals By Country Of Residence,Americas,USA,28293.6
2004-02,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5543.4
2004-02,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,47308.8
2004-02,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,9053.1
2004-03,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,236705.5
2004-03,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,46016.5
2004-03,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,20521.1
2004-03,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14715.7
2004-03,Total International Visitor Arrivals By Country Of Residence,Asia,India,32246.8
2004-03,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,1058.4
2004-03,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4592.8
2004-03,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,35959.4
2004-03,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11134.4
2004-03,Total International Visitor Arrivals By Country Of Residence,Europe,France,5532.1
2004-03,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2278.2
2004-03,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,5044.5
2004-03,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3491.5
2004-03,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4456.2
2004-03,Total International Visitor Arrivals By Country Of Residence,Americas,USA,26024.1
2004-03,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,4982.8
2004-03,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,42867.6
2004-03,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,8508.5
2004-04,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,246629.4
2004-04,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,48372.5
2004-04,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,21518.3
2004-04,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,14193.1
2004-04,Total International Visitor Arrivals By Country Of Residence,Asia,India,37788.4
2004-04,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,1169.1
2004-04,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,4785.3
2004-04,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,39066.1
2004-04,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,11325
2004-04,Total International Visitor Arrivals By Country Of Residence,Europe,France,5859.9
2004-04,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,2220.5
2004-04,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,4768.6
2004-04,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,3525.8
2004-04,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,4390.7
2004-04,Total International Visitor Arrivals By Country Of Residence,Americas,USA,27344.7
2004-04,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,5411.5
2004-04,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,44871
2004-04,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,9531.2
2004-05,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,251083.5
2004-05,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,51393.2
2004-05,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,24893.3
2004-05,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,15633.6
2004-05,Total International Visitor Arrivals By Country Of Residence,Asia,India,39278.3
